year,State,District,PVI,,
2010,Alabama,1st,R+14,,
2010,Alabama,2nd,R+16,,
2010,Alabama,3rd,R+9,,
2010,Alabama,4th,R+26,,
2010,Alabama,5th,R+12,,
2010,Alabama,6th,R+29,,
2010,Alabama,7th,D+18,,
2010,Alaska,0,R+13,,
2010,Arizona,1st,R+6,,
2010,Arizona,2nd,R+13,,
2010,Arizona,3rd,R+9,,
2010,Arizona,4th,D+13,,
2010,Arizona,5th,R+5,,
2010,Arizona,6th,R+15,,
2010,Arizona,7th,D+6,,
2010,Arizona,8th,R+4,,
2010,Arkansas,1st,R+8,,
2010,Arkansas,2nd,R+5,,
2010,Arkansas,3rd,R+16,,
2010,Arkansas,4th,R+7,,
2010,California,1st,D+13,,
2010,California,2nd,R+11,,
2010,California,3rd,R+6,,
2010,California,4th,R+10,,
2010,California,5th,D+15,,
2010,California,6th,D+23,,
2010,California,7th,D+19,,
2010,California,8th,D+35,,
2010,California,9th,D+37,,
2010,California,10th,D+11,,
2010,California,11th,R+1,,
2010,California,12th,D+23,,
2010,California,13th,D+22,,
2010,California,14th,D+21,,
2010,California,15th,D+15,,
2010,California,16th,D+16,,
2010,California,17th,D+19,,
2010,California,18th,D+4,,
2010,California,19th,R+9,,
2010,California,20th,D+5,,
2010,California,21st,R+13,,
2010,California,22nd,R+16,,
2010,California,23rd,D+12,,
2010,California,24th,R+4,,
2010,California,25th,R+6,,
2010,California,26th,R+3,,
2010,California,27th,D+13,,
2010,California,28th,D+23,,
2010,California,29th,D+14,,
2010,California,30th,D+18,,
2010,California,31st,D+29,,
2010,California,32nd,D+15,,
2010,California,33rd,D+35,,
2010,California,34th,D+22,,
2010,California,35th,D+31,,
2010,California,36th,D+12,,
2010,California,37th,D+26,,
2010,California,38th,D+18,,
2010,California,39th,D+12,,
2010,California,40th,R+8,,
2010,California,41st,R+10,,
2010,California,42nd,R+10,,
2010,California,43rd,D+13,,
2010,California,44th,R+6,,
2010,California,45th,R+3,,
2010,California,46th,R+6,,
2010,California,47th,D+4,,
2010,California,48th,R+6,,
2010,California,49th,R+10,,
2010,California,50th,R+3,,
2010,California,51st,D+8,,
2010,California,52nd,R+9,,
2010,California,53rd,D+14,,
2010,Colorado,1st,D+21,,
2010,Colorado,2nd,D+11,,
2010,Colorado,3rd,R+5,,
2010,Colorado,4th,R+6,,
2010,Colorado,5th,R+14,,
2010,Colorado,6th,R+8,,
2010,Colorado,7th,D+4,,
2010,Connecticut,1st,D+13,,
2010,Connecticut,2nd,D+6,,
2010,Connecticut,3rd,D+9,,
2010,Connecticut,4th,D+5,,
2010,Connecticut,5th,D+2,,
2010,Delaware,0,D+7,,
2010,Florida,1st,R+21,,
2010,Florida,2nd,R+6,,
2010,Florida,3rd,D+18,,
2010,Florida,4th,R+17,,
2010,Florida,5th,R+9,,
2010,Florida,6th,R+10,,
2010,Florida,7th,R+7,,
2010,Florida,8th,R+2,,
2010,Florida,9th,R+6,,
2010,Florida,10th,R+1,,
2010,Florida,11th,D+11,,
2010,Florida,12th,R+6,,
2010,Florida,13th,R+6,,
2010,Florida,14th,R+11,,
2010,Florida,15th,R+6,,
2010,Florida,16th,R+5,,
2010,Florida,17th,D+34,,
2010,Florida,18th,R+3,,
2010,Florida,19th,D+15,,
2010,Florida,20th,D+13,,
2010,Florida,21st,R+5,,
2010,Florida,22nd,D+1,,
2010,Florida,23rd,D+28,,
2010,Florida,24th,R+4,,
2010,Florida,25th,R+5,,
2010,Georgia,1st,R+16,,
2010,Georgia,2nd,D+1,,
2010,Georgia,3rd,R+19,,
2010,Georgia,4th,D+24,,
2010,Georgia,5th,D+26,,
2010,Georgia,6th,R+19,,
2010,Georgia,7th,R+16,,
2010,Georgia,8th,R+10,,
2010,Georgia,9th,R+28,,
2010,Georgia,10th,R+15,,
2010,Georgia,11th,R+20,,
2010,Georgia,12th,D+1,,
2010,Georgia,13th,D+15,,
2010,Hawaii,1st,D+11,,
2010,Hawaii,2nd,D+14,,
2010,Idaho,1st,R+18,,
2010,Idaho,2nd,R+17,,
2010,Illinois,1st,D+34,,
2010,Illinois,2nd,D+36,,
2010,Illinois,3rd,D+11,,
2010,Illinois,4th,D+32,,
2010,Illinois,5th,D+19,,
2010,Illinois,6th,0,,
2010,Illinois,7th,D+35,,
2010,Illinois,8th,R+1,,
2010,Illinois,9th,D+20,,
2010,Illinois,10th,D+6,,
2010,Illinois,11th,R+1,,
2010,Illinois,12th,D+3,,
2010,Illinois,13th,R+1,,
2010,Illinois,14th,R+1,,
2010,Illinois,15th,R+6,,
2010,Illinois,16th,R+2,,
2010,Illinois,17th,D+3,,
2010,Illinois,18th,R+6,,
2010,Illinois,19th,R+9,,
2010,Indiana,1st,D+8,,
2010,Indiana,2nd,R+2,,
2010,Indiana,3rd,R+14,,
2010,Indiana,4th,R+14,,
2010,Indiana,5th,R+17,,
2010,Indiana,6th,R+10,,
2010,Indiana,7th,D+14,,
2010,Indiana,8th,R+8,,
2010,Indiana,9th,R+6,,
2010,Iowa,1st,D+5,,
2010,Iowa,2nd,D+7,,
2010,Iowa,3rd,D+1,,
2010,Iowa,4th,0,,
2010,Iowa,5th,R+9,,
2010,Kansas,1st,R+23,,
2010,Kansas,2nd,R+9,,
2010,Kansas,3rd,R+3,,
2010,Kansas,4th,R+14,,
2010,Kentucky,1st,R+15,,
2010,Kentucky,2nd,R+15,,
2010,Kentucky,3rd,D+2,,
2010,Kentucky,4th,R+14,,
2010,Kentucky,5th,R+16,,
2010,Kentucky,6th,R+9,,
2010,Louisiana,1st,R+24,,
2010,Louisiana,2nd,D+25,,
2010,Louisiana,3rd,R+12,,
2010,Louisiana,4th,R+11,,
2010,Louisiana,5th,R+14,,
2010,Louisiana,6th,R+10,,
2010,Louisiana,7th,R+14,,
2010,Maine,1st,D+8,,
2010,Maine,2nd,D+3,,
2010,Maryland,1st,R+13,,
2010,Maryland,2nd,D+7,,
2010,Maryland,3rd,D+6,,
2010,Maryland,4th,D+31,,
2010,Maryland,5th,D+11,,
2010,Maryland,6th,R+13,,
2010,Maryland,7th,D+25,,
2010,Maryland,8th,D+21,,
2010,Massachusetts,1st,D+14,,
2010,Massachusetts,2nd,D+9,,
2010,Massachusetts,3rd,D+9,,
2010,Massachusetts,4th,D+14,,
2010,Massachusetts,5th,D+8,,
2010,Massachusetts,6th,D+7,,
2010,Massachusetts,7th,D+15,,
2010,Massachusetts,8th,D+32,,
2010,Massachusetts,9th,D+11,,
2010,Massachusetts,10th,D+5,,
2010,Michigan,1st,R+3,,
2010,Michigan,2nd,R+7,,
2010,Michigan,3rd,R+6,,
2010,Michigan,4th,R+3,,
2010,Michigan,5th,D+11,,
2010,Michigan,6th,0,,
2010,Michigan,7th,R+2,,
2010,Michigan,8th,R+2,,
2010,Michigan,9th,D+2,,
2010,Michigan,10th,R+5,,
2010,Michigan,11th,0,,
2010,Michigan,12th,D+12,,
2010,Michigan,13th,D+31,,
2010,Michigan,14th,D+34,,
2010,Michigan,15th,D+13,,
2010,Minnesota,1st,R+1,,
2010,Minnesota,2nd,R+4,,
2010,Minnesota,3rd,0,,
2010,Minnesota,4th,D+13,,
2010,Minnesota,5th,D+23,,
2010,Minnesota,6th,R+7,,
2010,Minnesota,7th,R+5,,
2010,Minnesota,8th,D+3,,
2010,Mississippi,1st,R+14,,
2010,Mississippi,2nd,D+12,,
2010,Mississippi,3rd,R+15,,
2010,Mississippi,4th,R+20,,
2010,Missouri,1st,D+27,,
2010,Missouri,2nd,R+9,,
2010,Missouri,3rd,D+7,,
2010,Missouri,4th,R+14,,
2010,Missouri,5th,D+10,,
2010,Missouri,6th,R+7,,
2010,Missouri,7th,R+17,,
2010,Missouri,8th,R+15,,
2010,Missouri,9th,R+9,,
2010,Montana,0,R+7,,
2010,Nebraska,1st,R+11,,
2010,Nebraska,2nd,R+6,,
2010,Nebraska,3rd,R+24,,
2010,Nevada,1st,D+10,,
2010,Nevada,2nd,R+5,,
2010,Nevada,3rd,D+2,,
2010,New Hampshire,1st,0,,
2010,New Hampshire,2nd,D+3,,
2010,New Jersey,1st,D+12,,
2010,New Jersey,2nd,D+1,,
2010,New Jersey,3rd,R+1,,
2010,New Jersey,4th,R+6,,
2010,New Jersey,5th,R+7,,
2010,New Jersey,6th,D+8,,
2010,New Jersey,7th,R+3,,
2010,New Jersey,8th,D+10,,
2010,New Jersey,9th,D+9,,
2010,New Jersey,10th,D+33,,
2010,New Jersey,11th,R+7,,
2010,New Jersey,12th,D+5,,
2010,New Jersey,13th,D+21,,
2010,New Mexico,1st,D+5,,
2010,New Mexico,2nd,R+6,,
2010,New Mexico,3rd,D+7,,
2010,New York,1st,0,,
2010,New York,2nd,D+4,,
2010,New York,3rd,R+4,,
2010,New York,4th,D+6,,
2010,New York,5th,D+12,,
2010,New York,6th,D+36,,
2010,New York,7th,D+26,,
2010,New York,8th,D+22,,
2010,New York,9th,D+5,,
2010,New York,10th,D+38,,
2010,New York,11th,D+38,,
2010,New York,12th,D+33,,
2010,New York,13th,R+4,,
2010,New York,14th,D+26,,
2010,New York,15th,D+41,,
2010,New York,16th,D+41,,
2010,New York,17th,D+18,,
2010,New York,18th,D+9,,
2010,New York,19th,R+3,,
2010,New York,20th,R+2,,
2010,New York,21st,D+6,,
2010,New York,22nd,D+6,,
2010,New York,23rd,R+1,,
2010,New York,24th,R+2,,
2010,New York,25th,D+3,,
2010,New York,26th,R+6,,
2010,New York,27th,D+4,,
2010,New York,28th,D+15,,
2010,New York,29th,R+5,,
2010,North Carolina,1st,D+9,,
2010,North Carolina,2nd,R+2,,
2010,North Carolina,3rd,R+16,,
2010,North Carolina,4th,D+8,,
2010,North Carolina,5th,R+15,,
2010,North Carolina,6th,R+18,,
2010,North Carolina,7th,R+5,,
2010,North Carolina,8th,R+2,,
2010,North Carolina,9th,R+11,,
2010,North Carolina,10th,R+17,,
2010,North Carolina,11th,R+6,,
2010,North Carolina,12th,D+16,,
2010,North Carolina,13th,D+5,,
2010,North Dakota,0,R+10,,
2010,Ohio,1st,D+1,,
2010,Ohio,2nd,R+13,,
2010,Ohio,3rd,R+5,,
2010,Ohio,4th,R+15,,
2010,Ohio,5th,R+9,,
2010,Ohio,6th,R+2,,
2010,Ohio,7th,R+7,,
2010,Ohio,8th,R+14,,
2010,Ohio,9th,D+10,,
2010,Ohio,10th,D+8,,
2010,Ohio,11th,D+32,,
2010,Ohio,12th,D+1,,
2010,Ohio,13th,D+5,,
2010,Ohio,14th,R+3,,
2010,Ohio,15th,D+1,,
2010,Ohio,16th,R+4,,
2010,Ohio,17th,D+12,,
2010,Ohio,18th,R+7,,
2010,Oklahoma,1st,R+16,,
2010,Oklahoma,2nd,R+14,,
2010,Oklahoma,3rd,R+24,,
2010,Oklahoma,4th,R+18,,
2010,Oklahoma,5th,R+13,,
2010,Oregon,1st,D+8,,
2010,Oregon,2nd,R+10,,
2010,Oregon,3rd,D+19,,
2010,Oregon,4th,D+2,,
2010,Oregon,5th,D+1,,
2010,Pennsylvania,1st,D+35,,
2010,Pennsylvania,2nd,D+38,,
2010,Pennsylvania,3rd,R+3,,
2010,Pennsylvania,4th,R+6,,
2010,Pennsylvania,5th,R+9,,
2010,Pennsylvania,6th,D+4,,
2010,Pennsylvania,7th,D+3,,
2010,Pennsylvania,8th,D+2,,
2010,Pennsylvania,9th,R+17,,
2010,Pennsylvania,10th,R+8,,
2010,Pennsylvania,11th,D+4,,
2010,Pennsylvania,12th,R+1,,
2010,Pennsylvania,13th,D+7,,
2010,Pennsylvania,14th,D+19,,
2010,Pennsylvania,15th,D+2,,
2010,Pennsylvania,16th,R+8,,
2010,Pennsylvania,17th,R+6,,
2010,Pennsylvania,18th,R+6,,
2010,Pennsylvania,19th,R+12,,
2010,Rhode Island,1st,D+13,,
2010,Rhode Island,2nd,D+9,,
2010,South Carolina,1st,R+10,,
2010,South Carolina,2nd,R+9,,
2010,South Carolina,3rd,R+17,,
2010,South Carolina,4th,R+15,,
2010,South Carolina,5th,R+7,,
2010,South Carolina,6th,D+12,,
2010,South Dakota,0,R+9,,
2010,Tennessee,1st,R+21,,
2010,Tennessee,2nd,R+16,,
2010,Tennessee,3rd,R+13,,
2010,Tennessee,4th,R+13,,
2010,Tennessee,5th,D+3,,
2010,Tennessee,6th,R+13,,
2010,Tennessee,7th,R+18,,
2010,Tennessee,8th,R+6,,
2010,Tennessee,9th,D+23,,
2010,Texas,1st,R+21,,
2010,Texas,2nd,R+13,,
2010,Texas,3rd,R+14,,
2010,Texas,4th,R+21,,
2010,Texas,5th,R+17,,
2010,Texas,6th,R+15,,
2010,Texas,7th,R+13,,
2010,Texas,8th,R+25,,
2010,Texas,9th,D+22,,
2010,Texas,10th,R+10,,
2010,Texas,11th,R+28,,
2010,Texas,12th,R+16,,
2010,Texas,13th,R+29,,
2010,Texas,14th,R+18,,
2010,Texas,15th,D+3,,
2010,Texas,16th,D+10,,
2010,Texas,17th,R+20,,
2010,Texas,18th,D+24,,
2010,Texas,19th,R+26,,
2010,Texas,20th,D+8,,
2010,Texas,21st,R+14,,
2010,Texas,22nd,R+13,,
2010,Texas,23rd,R+4,,
2010,Texas,24th,R+11,,
2010,Texas,25th,D+6,,
2010,Texas,26th,R+13,,
2010,Texas,27th,R+2,,
2010,Texas,28th,0,,
2010,Texas,29th,D+8,,
2010,Texas,30th,D+27,,
2010,Texas,31st,R+14,,
2010,Texas,32nd,R+8,,
2010,Utah,1st,R+21,,
2010,Utah,2nd,R+15,,
2010,Utah,3rd,R+26,,
2010,Vermont,0,D+13,,
2010,Virginia,1st,R+7,,
2010,Virginia,2nd,R+5,,
2010,Virginia,3rd,D+20,,
2010,Virginia,4th,R+4,,
2010,Virginia,5th,R+5,,
2010,Virginia,6th,R+12,,
2010,Virginia,7th,R+9,,
2010,Virginia,8th,D+16,,
2010,Virginia,9th,R+11,,
2010,Virginia,10th,R+2,,
2010,Virginia,11th,D+2,,
2010,Washington,1st,D+9,,
2010,Washington,2nd,D+3,,
2010,Washington,3rd,0,,
2010,Washington,4th,R+13,,
2010,Washington,5th,R+7,,
2010,Washington,6th,D+5,,
2010,Washington,7th,D+31,,
2010,Washington,8th,D+3,,
2010,Washington,9th,D+5,,
2010,West Virginia,1st,R+9,,
2010,West Virginia,2nd,R+8,,
2010,West Virginia,3rd,R+6,,
2010,Wisconsin,1st,R+2,,
2010,Wisconsin,2nd,D+15,,
2010,Wisconsin,3rd,D+4,,
2010,Wisconsin,4th,D+22,,
2010,Wisconsin,5th,R+12,,
2010,Wisconsin,6th,R+4,,
2010,Wisconsin,7th,D+3,,
2010,Wisconsin,8th,R+2,,
2010,Wyoming,0,R+20,,
2012,Alabama,1st,R+15,,
2012,Alabama,2nd,R+16,,
2012,Alabama,3rd,R+16,,
2012,Alabama,4th,R+30,,
2012,Alabama,5th,R+18,,
2012,Alabama,6th,R+26,,
2012,Alabama,7th,D+20,,
2012,Alaska,0,R+9,,
2012,Arizona,1st,R+2,,
2012,Arizona,2nd,R+1,,
2012,Arizona,3rd,D+13,,
2012,Arizona,4th,R+21,,
2012,Arizona,5th,R+15,,
2012,Arizona,6th,R+9,,
2012,Arizona,7th,D+23,,
2012,Arizona,8th,R+13,,
2012,Arizona,9th,D+4,,
2012,Arkansas,1st,R+17,,
2012,Arkansas,2nd,R+7,,
2012,Arkansas,3rd,R+19,,
2012,Arkansas,4th,R+17,,
2012,California,1st,R+11,,
2012,California,2nd,D+22,,
2012,California,3rd,D+5,,
2012,California,4th,R+10,,
2012,California,5th,D+21,,
2012,California,6th,D+21,,
2012,California,7th,D+3,,
2012,California,8th,R+9,,
2012,California,9th,D+8,,
2012,California,10th,0,,
2012,California,11th,D+21,,
2012,California,12th,D+37,,
2012,California,13th,D+40,,
2012,California,14th,D+27,,
2012,California,15th,D+20,,
2012,California,16th,D+9,,
2012,California,17th,D+25,,
2012,California,18th,D+23,,
2012,California,19th,D+24,,
2012,California,20th,D+23,,
2012,California,21st,D+5,,
2012,California,22nd,R+8,,
2012,California,23rd,R+14,,
2012,California,24th,D+7,,
2012,California,25th,0,,
2012,California,26th,D+7,,
2012,California,27th,D+16,,
2012,California,28th,D+23,,
2012,California,29th,D+29,,
2012,California,30th,D+18,,
2012,California,31st,D+8,,
2012,California,32nd,D+17,,
2012,California,33rd,D+16,,
2012,California,34th,D+35,,
2012,California,35th,D+19,,
2012,California,36th,D+2,,
2012,California,37th,D+37,,
2012,California,38th,D+17,,
2012,California,39th,0,,
2012,California,40th,D+33,,
2012,California,41st,D+12,,
2012,California,42nd,R+9,,
2012,California,43rd,D+29,,
2012,California,44th,D+35,,
2012,California,45th,R+3,,
2012,California,46th,D+15,,
2012,California,47th,D+13,,
2012,California,48th,R+4,,
2012,California,49th,R+1,,
2012,California,50th,R+11,,
2012,California,51st,D+22,,
2012,California,52nd,D+6,,
2012,California,53rd,D+14,,
2012,Colorado,1st,D+21,,
2012,Colorado,2nd,D+9,,
2012,Colorado,3rd,R+6,,
2012,Colorado,4th,R+13,,
2012,Colorado,5th,R+14,,
2012,Colorado,6th,D+2,,
2012,Colorado,7th,D+6,,
2012,Connecticut,1st,D+12,,
2012,Connecticut,2nd,D+3,,
2012,Connecticut,3rd,D+9,,
2012,Connecticut,4th,D+7,,
2012,Connecticut,5th,D+2,,
2012,Delaware,0,D+6,,
2012,Florida,1st,R+22,,
2012,Florida,2nd,R+18,,
2012,Florida,3rd,R+9,,
2012,Florida,4th,R+17,,
2012,Florida,5th,D+12,,
2012,Florida,6th,R+7,,
2012,Florida,7th,0,,
2012,Florida,8th,R+11,,
2012,Florida,9th,D+5,,
2012,Florida,10th,D+11,,
2012,Florida,11th,R+15,,
2012,Florida,12th,R+8,,
2012,Florida,13th,D+2,,
2012,Florida,14th,D+7,,
2012,Florida,15th,R+6,,
2012,Florida,16th,R+7,,
2012,Florida,17th,R+13,,
2012,Florida,18th,R+5,,
2012,Florida,19th,R+13,,
2012,Florida,20th,D+31,,
2012,Florida,21st,D+9,,
2012,Florida,22nd,D+6,,
2012,Florida,23rd,D+11,,
2012,Florida,24th,D+34,,
2012,Florida,25th,R+4,,
2012,Florida,26th,D+6,,
2012,Florida,27th,D+5,,
2012,Georgia,1st,R+9,,
2012,Georgia,2nd,D+6,,
2012,Georgia,3rd,R+18,,
2012,Georgia,4th,D+24,,
2012,Georgia,5th,D+34,,
2012,Georgia,6th,R+8,,
2012,Georgia,7th,R+9,,
2012,Georgia,8th,R+15,,
2012,Georgia,9th,R+31,,
2012,Georgia,10th,R+15,,
2012,Georgia,11th,R+17,,
2012,Georgia,12th,R+9,,
2012,Georgia,13th,D+20,,
2012,Georgia,14th,R+27,,
2012,Hawaii,1st,D+17,,
2012,Hawaii,2nd,D+19,,
2012,Idaho,1st,R+21,,
2012,Idaho,2nd,R+17,,
2012,Illinois,1st,D+27,,
2012,Illinois,2nd,D+29,,
2012,Illinois,3rd,D+6,,
2012,Illinois,4th,D+33,,
2012,Illinois,5th,D+20,,
2012,Illinois,6th,R+2,,
2012,Illinois,7th,D+38,,
2012,Illinois,8th,D+8,,
2012,Illinois,9th,D+18,,
2012,Illinois,10th,D+10,,
2012,Illinois,11th,D+9,,
2012,Illinois,12th,R+5,,
2012,Illinois,13th,R+3,,
2012,Illinois,14th,R+5,,
2012,Illinois,15th,R+21,,
2012,Illinois,16th,R+8,,
2012,Illinois,17th,D+3,,
2012,Illinois,18th,R+15,,
2012,Indiana,1st,D+8,,
2012,Indiana,2nd,R+11,,
2012,Indiana,3rd,R+18,,
2012,Indiana,4th,R+17,,
2012,Indiana,5th,R+9,,
2012,Indiana,6th,R+18,,
2012,Indiana,7th,D+11,,
2012,Indiana,8th,R+15,,
2012,Indiana,9th,R+13,,
2012,Iowa,1st,D+1,,
2012,Iowa,2nd,D+1,,
2012,Iowa,3rd,R+1,,
2012,Iowa,4th,R+11,,
2012,Kansas,1st,R+24,,
2012,Kansas,2nd,R+10,,
2012,Kansas,3rd,R+4,,
2012,Kansas,4th,R+15,,
2012,Kentucky,1st,R+23,,
2012,Kentucky,2nd,R+19,,
2012,Kentucky,3rd,D+6,,
2012,Kentucky,4th,R+18,,
2012,Kentucky,5th,R+31,,
2012,Kentucky,6th,R+9,,
2012,Louisiana,1st,R+24,,
2012,Louisiana,2nd,D+25,,
2012,Louisiana,3rd,R+20,,
2012,Louisiana,4th,R+13,,
2012,Louisiana,5th,R+15,,
2012,Louisiana,6th,R+19,,
2012,Maine,1st,D+8,,
2012,Maine,2nd,R+2,,
2012,Maryland,1st,R+14,,
2012,Maryland,2nd,D+11,,
2012,Maryland,3rd,D+13,,
2012,Maryland,4th,D+28,,
2012,Maryland,5th,D+16,,
2012,Maryland,6th,D+6,,
2012,Maryland,7th,D+26,,
2012,Maryland,8th,D+14,,
2012,Massachusetts,1st,D+12,,
2012,Massachusetts,2nd,D+9,,
2012,Massachusetts,3rd,D+9,,
2012,Massachusetts,4th,D+9,,
2012,Massachusetts,5th,D+18,,
2012,Massachusetts,6th,D+6,,
2012,Massachusetts,7th,D+34,,
2012,Massachusetts,8th,D+10,,
2012,Massachusetts,9th,D+4,,
2012,Michigan,1st,R+9,,
2012,Michigan,2nd,R+9,,
2012,Michigan,3rd,R+6,,
